City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,sola,-13.8833,167.55,27.64,80,100,6.49,VU,1734283998
349,cabo san lucas,22.8909,-109.9124,27.09,54,0,1.54,MX,1734283795
350,karamay,45.6004,84.8661,-9.68,76,100,5.08,CN,1734284001
351,warmbad,-28.45,18.7333,24.35,14,61,8.43,NA,1734284002
352,port lincoln,-34.7333,135.8667,25.83,44,78,4.24,AU,1734284003
353,gamboma,-1.8764,15.8644,26.92,69,83,1.49,CG,1734284005
354,kidal,18.4411,1.4078,24.22,7,7,4.26,ML,1734284006
355,chita,52.0333,113.55,-30.06,76,20,1.0,RU,1734284007
356,sechura,-5.5569,-80.8222,26.24,55,62,5.88,PE,1734284009
357,dudinka,69.4058,86.1778,-6.86,87,100,11.07,RU,1734284010
358,dalbandin,28.8947,64.4101,11.92,43,10,3.0,PK,1734284011
359,loikaw,19.6742,97.2094,17.88,96,79,0.44,MM,1734284012
360,michurinsk,52.8978,40.4907,-1.57,97,100,4.81,RU,1734284014
